# Region type : patch outlet
# Faces         : 10
# Area          : 3.42015068e-06
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(C2H2)	weightedAverage(H2)	weightedAverage(CH4)	weightedAverage(C2H4)	weightedAverage(C4H4)	weightedAverage(T)
0.25000000      	3.34006465e-01	1.99790350e-10	4.19987948e-04	1.95727545e-12	4.12952387e-08	3.62993777e+02
0.50000000      	3.34006127e-01	1.37878168e-09	4.19988030e-04	5.48954609e-11	3.45760740e-07	3.63776593e+02
0.75000000      	3.34000634e-01	3.37989040e-08	4.19991954e-04	5.60964459e-09	5.09889115e-06	3.63367091e+02
1.00000000      	3.33956050e-01	5.44340116e-07	4.20090173e-04	1.35620320e-07	3.84334279e-05	3.63264400e+02
1.25000000      	3.33764385e-01	3.95763147e-06	4.21034633e-04	1.16148037e-06	1.52897450e-04	3.63254151e+02
1.50000000      	3.33212278e-01	1.60535470e-05	4.25469341e-04	6.08335757e-06	4.19688944e-04	3.63256653e+02
1.75000000      	3.32050537e-01	4.35652132e-05	4.37964734e-04	2.08433191e-05	9.04768086e-04	3.63264160e+02
2.00000000      	3.30160502e-01	8.93120992e-05	4.62455301e-04	5.10790765e-05	1.62604875e-03	3.63278100e+02
2.25000000      	3.27635618e-01	1.50221694e-04	4.99544177e-04	9.81427087e-05	2.53931909e-03	3.63299456e+02
2.50000000      	3.24713140e-01	2.19524052e-04	5.46291111e-04	1.58302934e-04	3.56602795e-03	3.63327531e+02
2.75000000      	3.21656756e-01	2.90122410e-04	5.97953605e-04	2.24914930e-04	4.62786444e-03	3.63360063e+02
3.00000000      	3.18681556e-01	3.56625717e-04	6.49848037e-04	2.91174020e-04	5.66403917e-03	3.63394638e+02
3.25000000      	3.15935142e-01	4.15748741e-04	6.98375748e-04	3.51793635e-04	6.63232021e-03	3.63428699e+02
3.50000000      	3.13507848e-01	4.65897494e-04	7.41273923e-04	4.03521345e-04	7.50398575e-03	3.63460286e+02
3.75000000      	3.11447090e-01	5.06652276e-04	7.77463886e-04	4.45008353e-04	8.25994695e-03	3.63488143e+02
4.00000000      	3.09766475e-01	5.38403405e-04	8.06769105e-04	4.76417430e-04	8.88986986e-03	3.63511386e+02
4.25000000      	3.08451283e-01	5.62103620e-04	8.29626431e-04	4.98934165e-04	9.39271067e-03	3.63529826e+02
4.50000000      	3.07464370e-01	5.79048956e-04	8.46834436e-04	5.14267586e-04	9.77649919e-03	3.63543852e+02
4.75000000      	3.06754149e-01	5.90661623e-04	8.59353924e-04	5.24223820e-04	1.00564261e-02	3.63553945e+02
5.00000000      	3.06263498e-01	5.98301215e-04	8.68162912e-04	5.30415822e-04	1.02516860e-02	3.63560588e+02
