t(s),E(s),F(s),theta,E(theta),F(theta)
0,1.494579E-06,0,0,0.0003267189,0
0.6,1.683042E-06,9.532869E-07,0.002757742,0.0003681228,9.532869E-07
1.2,1.596963E-06,1.937288E-06,0.005515483,0.0003495737,1.937288E-06
1.8,1.836618E-06,2.967363E-06,0.008273225,0.0004024051,2.967363E-06
2.4,1.71679E-06,4.033385E-06,0.01103097,0.0003759894,4.033385E-06
3,1.477136E-06,4.991563E-06,0.01378871,0.0003231581,4.991563E-06
3.6,1.796756E-06,5.97373E-06,0.01654645,0.0003929238,5.97373E-06
4.2,1.820314E-06,7.058853E-06,0.01930419,0.0003980993,7.058853E-06
4.8,1.985219E-06,8.200513E-06,0.02206194,0.0004343277,8.200513E-06
5.4,1.644079E-06,9.289301E-06,0.02481968,0.0003599247,9.289301E-06
6,1.702525E-06,1.029328E-05,0.02757742,0.0003722218,1.029328E-05
6.6,1.475098E-06,1.124657E-05,0.03033516,0.0003226198,1.124657E-05
7.2,1.916583E-06,1.226407E-05,0.0330929,0.0004193395,1.226407E-05
7.8,1.957585E-06,1.342632E-05,0.03585064,0.0004280758,1.342632E-05
8.4,1.822352E-06,1.45603E-05,0.03860839,0.0003986375,1.45603E-05
9,1.600141E-06,1.558705E-05,0.04136612,0.0003493669,1.558705E-05
9.6,1.492541E-06,1.651486E-05,0.04412386,0.0003261806,1.651486E-05
10.2,1.121729E-06,1.729914E-05,0.04688161,0.0002449874,1.729914E-05
10.8,1.072576E-06,1.795743E-05,0.04963935,0.0002340983,1.795743E-05
11.4,1.076652E-06,1.86022E-05,0.05239709,0.0002351747,1.86022E-05
12,1.259E-06,1.93029E-05,0.05515483,0.000274964,1.93029E-05
12.6,1.211885E-06,2.004416E-05,0.05791257,0.000264613,2.004416E-05
13.2,1.023422E-06,2.071475E-05,0.06067031,0.000223209,2.071475E-05
13.8,1.139173E-06,2.136353E-05,0.06342806,0.0002485483,2.136353E-05
14.4,1.129881E-06,2.204425E-05,0.0661858,0.0002471404,2.204425E-05
15,1.141211E-06,2.272557E-05,0.06894354,0.0002490865,2.272557E-05
15.6,1.261039E-06,2.344625E-05,0.07170128,0.0002755022,2.344625E-05
16.2,9.434559E-07,2.41076E-05,0.07445902,0.0002062747,2.41076E-05
16.8,8.646307E-07,2.465003E-05,0.07721676,0.0001885953,2.465003E-05
17.4,7.50917E-07,2.513469E-05,0.07997451,0.0001637943,2.513469E-05
18,9.588622E-07,2.564762E-05,0.08273225,0.0002092972,2.564762E-05
18.6,1.051056E-06,2.62506E-05,0.08548999,0.000229461,2.62506E-05
19.2,7.919189E-07,2.680349E-05,0.08824773,0.0001725306,2.680349E-05
19.8,1.143249E-06,2.738404E-05,0.09100547,0.0002496247,2.738404E-05
20.4,1.192403E-06,2.808474E-05,0.09376321,0.0002605139,2.808474E-05
21,1.222075E-06,2.880908E-05,0.09652096,0.0002673041,2.880908E-05
21.6,1.37679E-06,2.958874E-05,0.09927872,0.0003008414,2.958874E-05
22.2,9.629378E-07,3.029066E-05,0.1020365,0.0002103737,3.029066E-05
22.8,9.332661E-07,3.085952E-05,0.1047942,0.0002035835,3.085952E-05
23.4,8.041464E-07,3.138074E-05,0.1075519,0.0001757599,3.138074E-05
24,8.195527E-07,3.186786E-05,0.1103097,0.0001787825,3.186786E-05
24.6,8.000708E-07,3.235374E-05,0.1130674,0.0001746835,3.235374E-05
25.2,7.29397E-07,3.281258E-05,0.1158252,0.000159157,3.281258E-05
25.8,8.841125E-07,3.329663E-05,0.1185829,0.0001926943,3.329663E-05
26.4,7.50917E-07,3.378714E-05,0.1213406,0.0001637943,3.378714E-05
27,8.277044E-07,3.426073E-05,0.1240984,0.0001809354,3.426073E-05
27.6,8.431107E-07,3.476197E-05,0.1268561,0.000183958,3.476197E-05
28.2,1.080727E-06,3.533913E-05,0.1296139,0.0002362511,3.533913E-05
28.8,1.008016E-06,3.596575E-05,0.1323716,0.0002201865,3.596575E-05
29.4,8.943023E-07,3.653644E-05,0.1351294,0.0001953854,3.653644E-05
30,7.468411E-07,3.702878E-05,0.1378871,0.0001627178,3.702878E-05
30.6,8.431107E-07,3.750577E-05,0.1406449,0.000183958,3.750577E-05
31.2,4.97894E-07,3.790807E-05,0.1434026,0.0001084785,3.790807E-05
31.8,6.680157E-07,3.825784E-05,0.1461603,0.0001450384,3.825784E-05
32.4,6.680157E-07,3.865866E-05,0.148918,0.0001450384,3.865866E-05
33,4.722982E-07,3.900075E-05,0.1516758,0.0001027648,3.900075E-05
33.6,7.09915E-07,3.935541E-05,0.1544335,0.0001550579,3.935541E-05
34.2,7.805884E-07,3.980256E-05,0.1571913,0.0001705844,3.980256E-05
34.8,6.802433E-07,4.024081E-05,0.159949,0.0001482678,4.024081E-05
35.4,7.09915E-07,4.065786E-05,0.1627068,0.0001550579,4.065786E-05
36,7.826265E-07,4.110563E-05,0.1654645,0.0001711227,4.110563E-05
36.6,7.672207E-07,4.157058E-05,0.1682223,0.0001681001,4.157058E-05
37.2,8.061845E-07,4.20426E-05,0.17098,0.0001762982,4.20426E-05
37.8,9.905719E-07,4.258163E-05,0.1737377,0.0002166256,4.258163E-05
38.4,1.031574E-06,4.318827E-05,0.1764955,0.000225362,4.318827E-05
39,8.841125E-07,4.376298E-05,0.1792532,0.0001926943,4.376298E-05
39.6,1.304078E-06,4.441943E-05,0.182011,0.0002847767,4.441943E-05
40.2,1.241557E-06,4.518312E-05,0.1847687,0.0002714031,4.518312E-05
40.8,1.051056E-06,4.587091E-05,0.1875264,0.000229461,4.587091E-05
41.4,9.353042E-07,4.646681E-05,0.1902842,0.0002041218,4.646681E-05
42,9.803821E-07,4.704152E-05,0.1930419,0.0002139345,4.704152E-05
42.6,8.922643E-07,4.760332E-05,0.1957997,0.0001948472,4.760332E-05
43.2,1.069397E-06,4.819181E-05,0.1985574,0.000234305,4.819181E-05
43.8,8.76858E-07,4.877569E-05,0.2013151,0.0001918246,4.877569E-05
44.4,8.358562E-07,4.92895E-05,0.2040729,0.0001830883,4.92895E-05
45,6.965467E-07,4.974922E-05,0.2068306,0.0001525736,4.974922E-05
45.6,6.965467E-07,5.016715E-05,0.2095884,0.0001525736,5.016715E-05
46.2,6.863571E-07,5.058202E-05,0.2123461,0.0001498825,5.058202E-05
46.8,4.548542E-07,5.092439E-05,0.2151039,9.920401E-05,5.092439E-05
47.4,6.197594E-07,5.124677E-05,0.2178616,0.0001354325,5.124677E-05
48,6.351655E-07,5.162325E-05,0.2206194,0.000138455,5.162325E-05
48.6,5.0197E-07,5.196439E-05,0.2233771,0.000109555,5.196439E-05
49.2,3.923323E-07,5.223268E-05,0.2261349,8.583046E-05,5.223268E-05
49.8,2.367194E-07,5.24214E-05,0.2288926,5.10099E-05,5.24214E-05
50.4,3.411406E-07,5.259475E-05,0.2316503,7.4403E-05,5.259475E-05
51,6.197594E-07,5.288302E-05,0.234408,0.0001354325,5.288302E-05
51.6,5.409339E-07,5.323123E-05,0.2371658,0.0001177531,5.323123E-05
52.2,3.995866E-07,5.351339E-05,0.2399235,8.67001E-05,5.351339E-05
52.8,3.760287E-07,5.374607E-05,0.2426813,8.152461E-05,5.374607E-05
53.4,6.627992E-07,5.405772E-05,0.245439,0.000144707,5.405772E-05
54,5.409339E-07,5.441884E-05,0.2481968,0.0001177531,5.441884E-05
54.6,5.214519E-07,5.473756E-05,0.2509545,0.000113654,5.473756E-05
55.2,4.8045E-07,5.503813E-05,0.2537122,0.0001049177,5.503813E-05
55.8,4.487403E-07,5.531688E-05,0.25647,9.758932E-05,5.531688E-05
56.4,3.687744E-07,5.556214E-05,0.2592277,8.065496E-05,5.556214E-05
57,6.392414E-07,5.586454E-05,0.2619855,0.0001395315,5.586454E-05
57.6,5.080838E-07,5.620874E-05,0.2647432,0.0001111697,5.620874E-05
58.2,7.046984E-07,5.657258E-05,0.267501,0.0001547265,5.657258E-05
58.8,4.24042E-07,5.69112E-05,0.2702587,9.315885E-05,5.69112E-05
59.4,3.687744E-07,5.714904E-05,0.2730164,8.065496E-05,5.714904E-05
60,6.802433E-07,5.746375E-05,0.2757742,0.0001482678,5.746375E-05
60.6,5.214519E-07,5.782426E-05,0.2785319,0.000113654,5.782426E-05
61.2,6.054938E-07,5.816234E-05,0.2812896,0.0001316649,5.816234E-05
61.8,5.5634E-07,5.851089E-05,0.2840474,0.0001207756,5.851089E-05
62.4,5.173761E-07,5.8833E-05,0.2868051,0.0001125776,5.8833E-05
63,5.19414E-07,5.914404E-05,0.2895629,0.0001131158,5.914404E-05
63.6,4.333342E-07,5.942987E-05,0.2923206,9.456675E-05,5.942987E-05
64.2,6.217973E-07,5.974641E-05,0.2950784,0.0001359707,5.974641E-05
64.8,9.271524E-07,6.021109E-05,0.2978361,0.0002019688,6.021109E-05
65.4,6.372034E-07,6.06804E-05,0.3005939,0.0001389933,6.06804E-05
66,1.072576E-06,6.119333E-05,0.3033516,0.0002340983,6.119333E-05
66.6,8.012112E-07,6.175547E-05,0.3061094,0.0001739385,6.175547E-05
67.2,1.295927E-06,6.238461E-05,0.3088671,0.0002826238,6.238461E-05
67.8,1.53876E-06,6.323501E-05,0.3116248,0.0003352484,6.323501E-05
68.4,2.226015E-06,6.436445E-05,0.3143825,0.0004864141,6.436445E-05
69,2.845774E-06,6.588598E-05,0.3171403,0.0006218465,6.588598E-05
69.6,4.2255E-06,6.800736E-05,0.319898,0.0009245096,6.800736E-05
70.2,5.308265E-06,7.086749E-05,0.3226558,0.001161299,7.086749E-05
70.8,7.721601E-06,7.477647E-05,0.3254135,0.001689861,7.477647E-05
71.4,1.01157E-05,8.012766E-05,0.3281713,0.002212297,8.012766E-05
72,1.380483E-05,8.730378E-05,0.330929,0.003016074,8.730378E-05
72.6,1.858308E-05,9.702018E-05,0.3336867,0.004056226,9.702018E-05
73.2,2.447311E-05,0.000109937,0.3364445,0.005336646,0.000109937
73.8,3.512191E-05,0.0001278156,0.3392022,0.007653119,0.0001278156
74.4,4.686554E-05,0.0001524118,0.34196,0.01020224,0.0001524118
75,6.392444E-05,0.0001856488,0.3447177,0.01391557,0.0001856488
75.6,8.414457E-05,0.0002300695,0.3474755,0.01830266,0.0002300695
76.2,0.0001043636,0.0002866219,0.3502332,0.0226811,0.0002866219
76.8,0.000124343,0.0003552339,0.352991,0.02700671,0.0003552339
77.4,0.0001463761,0.0004364496,0.3557487,0.0317575,0.0004364496
78,0.0001713414,0.0005317649,0.3585064,0.03717079,0.0005317649
78.6,0.0001937806,0.0006413014,0.3612641,0.04200584,0.0006413014
79.2,0.0002191971,0.0007651948,0.3640219,0.04749644,0.0007651948
79.8,0.0002467944,0.0009049924,0.3667796,0.05345627,0.0009049924
80.4,0.0002605853,0.001057206,0.3695374,0.05645716,0.001057206
81,0.0003022423,0.001226054,0.3722951,0.06545539,0.001226054
81.6,0.000363254,0.001425703,0.3750529,0.07872932,0.001425703
82.2,0.0004451367,0.001668221,0.3778106,0.09651098,0.001668221
82.8,0.0005508978,0.001967031,0.3805684,0.1195131,0.001967031
83.4,0.0006296245,0.002321188,0.3833261,0.1366568,0.002321188
84,0.0007603753,0.002738188,0.3860839,0.1650357,0.002738188
84.6,0.0008060095,0.003208103,0.3888416,0.1751095,0.003208103
