# Time	Temperature [K]	Pressure [Pa]
1e-06	1173.15	5000
3e-06	1173.15	5000
6.99999e-06	1173.15	5000
1.49999e-05	1173.15	5000
2.59531e-05	1173.14	5000
3.92643e-05	1173.14	5000
4.59199e-05	1173.14	5000
5.9231e-05	1173.14	5000
8.20045e-05	1173.13	5000
0.000115671	1173.13	5000
0.000142869	1173.12	5000
0.000156469	1173.12	5000
0.000183667	1173.11	5000
0.000197267	1173.11	5000
0.000224465	1173.11	5000
0.000238064	1173.1	5000
0.000265262	1173.1	5000
0.000280403	1173.1	5000
0.000310684	1173.09	5000
0.000327614	1173.09	5000
0.000361472	1173.08	5000
0.000380255	1173.08	5000
0.00041782	1173.07	5000
0.000438495	1173.07	5000
0.000479844	1173.06	5000
0.000502504	1173.06	5000
0.000547824	1173.05	5000
0.000572559	1173.05	5000
0.000622025	1173.04	5000
0.000646759	1173.04	5000
0.000687884	1173.03	5000
0.000770132	1173.02	5000
0.000811256	1173.02	5000
0.000893501	1173.01	5000
0.000934623	1173.01	5000
0.00101686	1173	5000
0.00105798	1173	5000
0.00114022	1172.99	5000
0.00118134	1172.99	5000
0.00126358	1172.99	5000
0.00142803	1172.99	5000
0.00151026	1172.99	5000
0.0016747	1172.99	5000
0.00175692	1173	5000
0.00192135	1173.01	5000
0.00200356	1173.02	5000
0.00216798	1173.04	5000
0.00225019	1173.05	5000
0.00241459	1173.08	5000
0.00273628	1173.14	5000
0.00289713	1173.18	5000
0.00321878	1173.27	5000
0.0033796	1173.32	5000
0.0037012	1173.42	5000
0.00386199	1173.47	5000
0.00418354	1173.59	5000
0.00434431	1173.65	5000
0.0046658	1173.77	5000
0.00526181	1174.02	5000
0.00555981	1174.14	5000
0.006156	1174.4	5000
0.00645409	1174.53	5000
0.0070501	1174.8	5000
0.0073481	1174.94	5000
0.00794393	1175.22	5000
0.00824185	1175.36	5000
0.00875044	1175.6	5000
0.00976711	1176.1	5000
0.0102754	1176.35	5000
0.0112916	1176.86	5000
0.0117997	1177.12	5000
0.0126765	1177.57	5000
0.0144302	1178.5	5000
0.015307	1178.98	5000
0.0170591	1179.95	5000
0.0179352	1180.44	5000
0.0194867	1181.33	5000
0.0225895	1183.17	5000
0.024141	1184.11	5000
0.027239	1186.04	5000
0.0287879	1187.02	5000
0.0314708	1188.76	5000
0.0334555	1190.08	5000
0.0374168	1192.75	5000
0.0397588	1194.36	5000
0.0434952	1196.98	5000
0.0462517	1198.94	5000
0.0517647	1202.93	5000
0.054979	1205.28	5000
0.0600873	1209.07	5000
0.0638023	1211.83	5000
0.0656599	1213.22	5000
0.0693823	1216	5000
0.0712436	1217.38	5000
0.0749586	1220.13	5000
0.0768161	1221.5	5000
0.0805237	1224.21	5000
0.0823775	1225.54	5000
0.0860775	1228.18	5000
0.0879276	1229.48	5000
0.0916202	1232.02	5000
0.0934665	1233.26	5000
0.0971516	1235.69	5000
0.0989941	1236.87	5000
0.102687	1239.17	5000
0.104533	1240.28	5000
0.108218	1242.43	5000
0.110061	1243.47	5000
0.113738	1245.46	5000
0.115577	1246.41	5000
0.119247	1248.23	5000
0.121082	1249.1	5000
0.124759	1250.77	5000
0.126598	1251.56	5000
0.130268	1253.06	5000
0.132102	1253.77	5000
0.135764	1255.12	5000
0.137595	1255.76	5000
0.14125	1256.97	5000
0.143077	1257.54	5000
0.146739	1258.63	5000
0.14857	1259.14	5000
0.152224	1260.1	5000
0.154051	1260.56	5000
0.157698	1261.43	5000
0.159521	1261.84	5000
0.163159	1262.61	5000
0.170436	1264.01	5000
0.174074	1264.64	5000
0.181319	1265.79	5000
0.184942	1266.32	5000
0.192155	1267.28	5000
0.195761	1267.73	5000
0.203007	1268.56	5000
0.206629	1268.94	5000
0.213842	1269.67	5000
0.217448	1270.01	5000
0.224627	1270.66	5000
0.234568	1271.48	5000
0.239538	1271.87	5000
0.249415	1272.59	5000
0.254353	1272.94	5000
0.264164	1273.59	5000
0.274107	1274.22	5000
0.284051	1274.82	5000
0.293995	1275.39	5000
0.303939	1275.93	5000
0.313882	1276.46	5000
0.323826	1276.97	5000
0.33377	1277.47	5000
0.343714	1277.96	5000
0.353657	1278.43	5000
0.363601	1278.89	5000
0.373545	1279.34	5000
0.383489	1279.79	5000
0.393432	1280.22	5000
0.403376	1280.65	5000
0.41332	1281.07	5000
0.423263	1281.49	5000
0.433207	1281.9	5000
0.443151	1282.3	5000
0.453095	1282.7	5000
0.463038	1283.09	5000
0.472982	1283.48	5000
0.482926	1283.87	5000
0.49287	1284.25	5000
0.502813	1284.62	5000
0.512757	1284.99	5000
0.522701	1285.36	5000
0.532645	1285.72	5000
0.542588	1286.08	5000
0.552532	1286.44	5000
0.562476	1286.79	5000
0.572419	1287.14	5000
0.582363	1287.49	5000
0.592307	1287.83	5000
0.602251	1288.17	5000
0.612194	1288.5	5000
0.622138	1288.84	5000
0.632082	1289.17	5000
0.642026	1289.49	5000
0.651969	1289.82	5000
0.661913	1290.14	5000
0.671857	1290.46	5000
0.681801	1290.78	5000
0.691744	1291.09	5000
0.701688	1291.4	5000
0.711632	1291.71	5000
0.721575	1292.02	5000
0.731519	1292.32	5000
0.741463	1292.63	5000
0.751407	1292.93	5000
0.76135	1293.23	5000
0.771294	1293.52	5000
0.781238	1293.82	5000
0.791182	1294.11	5000
0.801125	1294.4	5000
0.811069	1294.69	5000
0.821013	1294.98	5000
0.830957	1295.26	5000
0.8409	1295.55	5000
0.850844	1295.83	5000
0.860788	1296.11	5000
0.870731	1296.39	5000
0.880675	1296.67	5000
0.890619	1296.94	5000
0.900563	1297.22	5000
0.910506	1297.49	5000
0.92045	1297.76	5000
0.930394	1298.04	5000
0.940338	1298.31	5000
0.950281	1298.57	5000
0.960225	1298.84	5000
0.970169	1299.11	5000
0.980113	1299.37	5000
0.990056	1299.64	5000
1	1299.9	5000
