# Time	Temperature [K]	Pressure [Pa]
1e-06	1173.15	5000
3e-06	1173.15	5000
6.99999e-06	1173.15	5000
1.49999e-05	1173.15	5000
2.95776e-05	1173.14	5000
4.81072e-05	1173.14	5000
5.73721e-05	1173.14	5000
7.59015e-05	1173.13	5000
8.51663e-05	1173.13	5000
0.000103696	1173.13	5000
0.00011296	1173.13	5000
0.000130678	1173.12	5000
0.000166115	1173.12	5000
0.000183833	1173.11	5000
0.000219268	1173.11	5000
0.000239441	1173.1	5000
0.000279787	1173.1	5000
0.000303561	1173.09	5000
0.000351109	1173.08	5000
0.000378845	1173.08	5000
0.000434318	1173.07	5000
0.000466358	1173.06	5000
0.000530439	1173.05	5000
0.000567287	1173.05	5000
0.000640981	1173.04	5000
0.000682261	1173.03	5000
0.000764822	1173.02	5000
0.000806103	1173.02	5000
0.0008731	1173.01	5000
0.000919321	1173.01	5000
0.00101176	1173	5000
0.00105798	1173	5000
0.00115042	1172.99	5000
0.00120119	1172.99	5000
0.00130271	1172.99	5000
0.00135348	1172.99	5000
0.00143882	1172.99	5000
0.00150034	1172.99	5000
0.00162339	1172.99	5000
0.00169332	1173	5000
0.00183317	1173	5000
0.0019143	1173.01	5000
0.00207654	1173.03	5000
0.00217071	1173.04	5000
0.00235905	1173.07	5000
0.00246735	1173.09	5000
0.00268392	1173.14	5000
0.00280659	1173.17	5000
0.0030519	1173.23	5000
0.00318902	1173.27	5000
0.00346324	1173.36	5000
0.0036162	1173.4	5000
0.00392212	1173.51	5000
0.00409553	1173.57	5000
0.0044423	1173.7	5000
0.00464362	1173.78	5000
0.00504628	1173.94	5000
0.00528425	1174.03	5000
0.00576019	1174.23	5000
0.00604426	1174.35	5000
0.0063581	1174.48	5000
0.00669232	1174.63	5000
0.00685944	1174.7	5000
0.0071936	1174.84	5000
0.00736068	1174.92	5000
0.00769479	1175.06	5000
0.00786185	1175.13	5000
0.0081959	1175.28	5000
0.00836293	1175.35	5000
0.00869693	1175.5	5000
0.00936492	1175.8	5000
0.00987268	1176.03	5000
0.0104209	1176.27	5000
0.0110006	1176.54	5000
0.0116145	1176.82	5000
0.0119215	1176.96	5000
0.0125352	1177.25	5000
0.0128421	1177.39	5000
0.0134556	1177.68	5000
0.0137623	1177.82	5000
0.0143757	1178.11	5000
0.0155791	1178.69	5000
0.0164652	1179.13	5000
0.0174257	1179.6	5000
0.0179059	1179.84	5000
0.0188659	1180.32	5000
0.0193459	1180.56	5000
0.0203055	1181.05	5000
0.0207853	1181.3	5000
0.0217453	1181.79	5000
0.0235945	1182.76	5000
0.024914	1183.47	5000
0.0255737	1183.82	5000
0.0268923	1184.54	5000
0.0275516	1184.9	5000
0.0288711	1185.62	5000
0.0295308	1185.99	5000
0.0308494	1186.73	5000
0.0331569	1188.04	5000
0.0347603	1188.96	5000
0.0355619	1189.43	5000
0.037164	1190.36	5000
0.037965	1190.84	5000
0.0395658	1191.79	5000
0.0421476	1193.34	5000
0.0439514	1194.43	5000
0.0475592	1196.65	5000
0.049363	1197.78	5000
0.0523153	1199.63	5000
0.0543981	1200.95	5000
0.0565719	1202.34	5000
0.0576588	1203.03	5000
0.0598301	1204.43	5000
0.0609158	1205.13	5000
0.0630846	1206.53	5000
0.0666606	1208.85	5000
0.0691899	1210.49	5000
0.0704546	1211.31	5000
0.0729806	1212.95	5000
0.0742435	1213.77	5000
0.076766	1215.4	5000
0.0780273	1216.22	5000
0.0805463	1217.83	5000
0.0818059	1218.64	5000
0.0843215	1220.24	5000
0.0855793	1221.03	5000
0.0880914	1222.61	5000
0.0893475	1223.39	5000
0.0918562	1224.93	5000
0.0931105	1225.69	5000
0.0956157	1227.2	5000
0.0968683	1227.95	5000
0.0993701	1229.42	5000
0.100621	1230.14	5000
0.103119	1231.57	5000
0.104368	1232.27	5000
0.10687	1233.65	5000
0.108121	1234.32	5000
0.110619	1235.65	5000
0.111868	1236.3	5000
0.114363	1237.58	5000
0.115611	1238.2	5000
0.118102	1239.42	5000
0.119347	1240.01	5000
0.121835	1241.17	5000
0.123079	1241.74	5000
0.125563	1242.84	5000
0.126805	1243.38	5000
0.129286	1244.42	5000
0.130526	1244.93	5000
0.133003	1245.91	5000
0.134242	1246.39	5000
0.136716	1247.32	5000
0.137952	1247.77	5000
0.140422	1248.65	5000
0.141657	1249.07	5000
0.144124	1249.9	5000
0.145357	1250.3	5000
0.147827	1251.07	5000
0.149062	1251.45	5000
0.151529	1252.18	5000
0.152762	1252.53	5000
0.155225	1253.21	5000
0.156456	1253.54	5000
0.158923	1254.19	5000
0.160156	1254.5	5000
0.162619	1255.1	5000
0.16385	1255.4	5000
0.166317	1255.97	5000
0.16755	1256.24	5000
0.170013	1256.78	5000
0.171245	1257.04	5000
0.173711	1257.54	5000
0.178629	1258.5	5000
0.181089	1258.95	5000
0.185992	1259.8	5000
0.188444	1260.2	5000
0.193333	1260.96	5000
0.195777	1261.33	5000
0.200652	1262.02	5000
0.203089	1262.35	5000
0.207948	1262.98	5000
0.210377	1263.28	5000
0.215252	1263.87	5000
0.22494	1264.95	5000
0.229784	1265.45	5000
0.239412	1266.39	5000
0.244226	1266.83	5000
0.253792	1267.67	5000
0.258545	1268.07	5000
0.266518	1268.71	5000
0.276566	1269.48	5000
0.283658	1270	5000
0.293607	1270.7	5000
0.303556	1271.38	5000
0.313506	1272.03	5000
0.323455	1272.66	5000
0.333404	1273.27	5000
0.343353	1273.86	5000
0.353302	1274.44	5000
0.363252	1275.01	5000
0.373201	1275.56	5000
0.38315	1276.1	5000
0.393099	1276.63	5000
0.403048	1277.15	5000
0.412998	1277.66	5000
0.422947	1278.16	5000
0.432896	1278.65	5000
0.442845	1279.13	5000
0.452794	1279.61	5000
0.462744	1280.08	5000
0.472693	1280.54	5000
0.482642	1281	5000
0.492591	1281.45	5000
0.50254	1281.89	5000
0.51249	1282.33	5000
0.522439	1282.76	5000
0.532388	1283.19	5000
0.542337	1283.61	5000
0.552286	1284.03	5000
0.562235	1284.45	5000
0.572185	1284.86	5000
0.582134	1285.27	5000
0.592083	1285.67	5000
0.602032	1286.07	5000
0.611981	1286.47	5000
0.621931	1286.86	5000
0.63188	1287.25	5000
0.641829	1287.64	5000
0.651778	1288.03	5000
0.661727	1288.41	5000
0.671677	1288.8	5000
0.681626	1289.18	5000
0.691575	1289.55	5000
0.701524	1289.93	5000
0.711473	1290.31	5000
0.721423	1290.68	5000
0.731372	1291.05	5000
0.741321	1291.43	5000
0.75127	1291.8	5000
0.761219	1292.17	5000
0.771169	1292.54	5000
0.781118	1292.91	5000
0.791067	1293.27	5000
0.801016	1293.64	5000
0.810965	1294.01	5000
0.820915	1294.38	5000
0.830864	1294.74	5000
0.840813	1295.11	5000
0.850762	1295.48	5000
0.860711	1295.84	5000
0.87066	1296.21	5000
0.88061	1296.58	5000
0.890559	1296.94	5000
0.900508	1297.31	5000
0.910457	1297.68	5000
0.920406	1298.05	5000
0.930356	1298.42	5000
0.940305	1298.79	5000
0.950254	1299.16	5000
0.960203	1299.53	5000
0.970152	1299.9	5000
0.980102	1300.27	5000
0.990051	1300.65	5000
1	1301.02	5000
