t(s),E(s),F(s),theta,E(theta),F(theta)
0,2.583223E-06,0,0,0.0003504838,0
0.6,2.290194E-06,1.462025E-06,0.004422627,0.0003107282,1.462025E-06
1.2,1.80796E-06,2.691471E-06,0.008845254,0.0002452998,2.691471E-06
1.8,1.138196E-06,3.575318E-06,0.01326788,0.0001544252,3.575318E-06
2.4,1.03063E-06,4.225965E-06,0.01769051,0.0001398241,4.225965E-06
3,1.223188E-06,4.902111E-06,0.02211314,0.0001659502,4.902111E-06
3.6,1.487327E-06,5.715266E-06,0.02653576,0.0002017885,5.715266E-06
4.2,1.344165E-06,6.564713E-06,0.03095839,0.0001823639,6.564713E-06
4.8,1.311923E-06,7.361542E-06,0.03538102,0.0001779935,7.361542E-06
5.4,1.214806E-06,8.119559E-06,0.03980364,0.0001648172,8.119559E-06
6,9.184246E-07,8.759529E-06,0.04422627,0.0001246085,8.759529E-06
6.6,1.173791E-06,9.387193E-06,0.0486489,0.0001592487,9.387193E-06
7.2,7.325717E-07,9.9591E-06,0.05307152,9.938881E-05,9.9591E-06
7.8,8.740569E-07,1.044109E-05,0.05749415,0.0001185868,1.044109E-05
8.4,1.190946E-06,1.106059E-05,0.06191677,0.0001615798,1.106059E-05
9,1.086732E-06,1.17439E-05,0.06633941,0.000147432,1.17439E-05
9.6,9.251302E-07,1.234745E-05,0.07076203,0.0001255149,1.234745E-05
10.2,9.967107E-07,1.292401E-05,0.07518466,0.0001352271,1.292401E-05
10.8,1.182564E-06,1.357779E-05,0.07960728,0.0001604468,1.357779E-05
11.4,5.965065E-07,1.411151E-05,0.08402991,8.093575E-05,1.411151E-05
12,8.807625E-07,1.455469E-05,0.08845254,0.0001194932,1.455469E-05
12.6,9.762035E-07,1.511178E-05,0.09287516,0.0001324429,1.511178E-05
13.2,6.216524E-07,1.559113E-05,0.09729779,8.433461E-05,1.559113E-05
13.8,7.07035E-07,1.598974E-05,0.1017205,9.592479E-05,1.598974E-05
14.4,9.184246E-07,1.647738E-05,0.106143,0.0001246085,1.647738E-05
15,9.217774E-07,1.702944E-05,0.1105657,0.0001250617,1.702944E-05
15.6,1.066615E-06,1.762596E-05,0.1149883,0.0001447129,1.762596E-05
16.2,1.116012E-06,1.828075E-05,0.119411,0.0001514143,1.828075E-05
16.8,8.845057E-07,1.88809E-05,0.1238336,0.0001200115,1.88809E-05
17.4,6.936237E-07,1.935434E-05,0.1282562,9.411207E-05,1.935434E-05
18,2.863231E-07,1.964833E-05,0.1326788,3.884917E-05,1.964833E-05
18.6,7.20837E-07,1.995047E-05,0.1371014,9.780272E-05,1.995047E-05
19.2,6.986531E-07,2.037632E-05,0.1415241,9.479184E-05,2.037632E-05
19.8,7.530792E-07,2.081184E-05,0.1459467,0.0001021731,2.081184E-05
20.4,1.018895E-06,2.134343E-05,0.1503694,0.000138238,2.134343E-05
21,1.26085E-06,2.202736E-05,0.1547919,0.0001710655,2.202736E-05
21.6,1.150321E-06,2.275071E-05,0.1592146,0.0001560765,2.275071E-05
22.2,7.497264E-07,2.332072E-05,0.1636372,0.0001017199,2.332072E-05
22.8,1.093828E-06,2.387379E-05,0.1680599,0.0001484035,2.387379E-05
23.4,1.402335E-06,2.462264E-05,0.1724825,0.0001902635,2.462264E-05
24,9.627923E-07,2.533217E-05,0.1769051,0.0001306302,2.533217E-05
24.6,1.195975E-06,2.597981E-05,0.1813277,0.0001622596,2.597981E-05
25.2,9.778797E-07,2.663196E-05,0.1857503,0.0001326695,2.663196E-05
25.8,9.09652E-07,2.719822E-05,0.190173,0.0001234104,2.719822E-05
26.4,7.752631E-07,2.77037E-05,0.1945956,0.0001051839,2.77037E-05
27,5.843809E-07,2.811159E-05,0.1990182,7.928445E-05,2.811159E-05
27.6,9.351886E-07,2.856746E-05,0.2034408,0.0001268744,2.856746E-05
28.2,7.83645E-07,2.908311E-05,0.2078635,0.0001063169,2.908311E-05
28.8,1.146578E-06,2.966218E-05,0.2122861,0.0001555581,2.966218E-05
29.4,8.690274E-07,3.026686E-05,0.2167088,0.000117907,3.026686E-05
30,5.843809E-07,3.070288E-05,0.2211314,7.928445E-05,3.070288E-05
30.6,5.621971E-07,3.104686E-05,0.225554,7.627363E-05,3.104686E-05
31.2,6.220432E-07,3.140213E-05,0.2299766,8.439977E-05,3.140213E-05
31.8,8.179541E-07,3.183412E-05,0.2343992,0.000110979,3.183412E-05
32.4,6.764693E-07,3.228245E-05,0.2388219,9.178101E-05,3.228245E-05
33,6.11594E-07,3.266887E-05,0.2432445,8.297509E-05,3.266887E-05
33.6,8.091816E-07,3.30951E-05,0.2476671,0.0001097809,3.30951E-05
34.2,3.235945E-07,3.343494E-05,0.2520897,4.389933E-05,3.343494E-05
34.8,4.839107E-07,3.367719E-05,0.2565124,6.565499E-05,3.367719E-05
35.4,5.249255E-07,3.397984E-05,0.260935,7.12235E-05,3.397984E-05
36,4.617269E-07,3.427584E-05,0.2653576,6.264414E-05,3.427584E-05
36.6,4.294846E-07,3.45432E-05,0.2697802,5.827375E-05,3.45432E-05
37.2,1.787566E-07,3.472567E-05,0.2742029,2.424815E-05,3.472567E-05
37.8,5.571679E-07,3.494645E-05,0.2786255,7.559386E-05,3.494645E-05
38.4,6.731165E-07,3.531553E-05,0.2830481,9.132782E-05,3.531553E-05
39,4.412194E-07,3.564984E-05,0.2874708,5.985989E-05,3.564984E-05
39.6,7.275426E-07,3.600046E-05,0.2918934,9.870905E-05,3.600046E-05
40.2,5.843809E-07,3.639404E-05,0.296316,7.928445E-05,3.639404E-05
40.8,8.962407E-07,3.683823E-05,0.3007386,0.0001215977,3.683823E-05
41.4,1.293092E-06,3.749503E-05,0.3051613,0.0001754359,3.749503E-05
42,1.946987E-06,3.846705E-05,0.3095839,0.0002641409,3.846705E-05
42.6,2.769189E-06,3.98819E-05,0.3140065,0.0003756693,3.98819E-05
43.2,4.983278E-06,4.220764E-05,0.3184291,0.0006760366,4.220764E-05
43.8,9.185874E-06,4.645839E-05,0.3228518,0.001246144,4.645839E-05
44.4,1.591648E-05,5.39891E-05,0.3272744,0.002159224,5.39891E-05
45,2.816988E-05,6.7215E-05,0.331697,0.003821572,6.7215E-05
45.6,4.748564E-05,8.991165E-05,0.3361197,0.006442101,8.991165E-05
46.2,7.389984E-05,0.0001263273,0.3405423,0.01002567,0.0001263273
46.8,0.0001070314,0.0001806067,0.3449649,0.01452046,0.0001806067
47.4,0.0001555518,0.0002593817,0.3493875,0.02110277,0.0002593817
48,0.0002230189,0.0003729528,0.3538102,0.03025532,0.0003729528
48.6,0.0002858196,0.0005256044,0.3582328,0.03877479,0.0005256044
49.2,0.0003294818,0.0007101948,0.3626554,0.04469847,0.0007101948
49.8,0.0004221334,0.0009356793,0.367078,0.05726802,0.0009356793
50.4,0.000514474,0.001216662,0.3715007,0.0697959,0.001216662
51,0.0006026707,0.001551805,0.3759233,0.0817616,0.001551805
51.6,0.000681922,0.001937183,0.3803459,0.09251389,0.001937183
52.2,0.0007816737,0.002376262,0.3847686,0.1060463,0.002376262
52.8,0.000990659,0.002907961,0.3891912,0.1343983,0.002907961
53.4,0.001168458,0.003555697,0.3936138,0.1585194,0.003555697
54,0.00142305,0.004333148,0.3980364,0.1930586,0.004333148
54.6,0.001684001,0.005265263,0.4024591,0.2284614,0.005265263
55.2,0.001894825,0.006338911,0.4068817,0.2570627,0.006338911
55.8,0.002120181,0.007543413,0.4113043,0.2876362,0.007543413
56.4,0.002135243,0.00882004,0.4157269,0.2896792,0.00882004
57,0.002328356,0.01015912,0.4201496,0.3158802,0.01015912
57.6,0.002332894,0.0115575,0.4245722,0.3164962,0.0115575
58.2,0.002371866,0.01296892,0.4289948,0.321785,0.01296892
58.8,0.002533736,0.01444061,0.4334174,0.343746,0.01444061
59.4,0.002610036,0.01598374,0.4378401,0.3540991,0.01598374
60,0.0026797,0.01757065,0.4422627,0.3635488,0.01757065
60.6,0.003024454,0.0192819,0.4466853,0.4103186,0.0192819
61.2,0.00308304,0.02111415,0.451108,0.4182657,0.02111415
61.8,0.003374086,0.02305129,0.4555306,0.4577445,0.02305129
62.4,0.003793425,0.02520154,0.4599532,0.5146303,0.02520154
63,0.004369749,0.02765049,0.4643758,0.5928179,0.02765049
63.6,0.005063017,0.03048032,0.4687985,0.6868676,0.03048032
64.2,0.005329929,0.0335982,0.4732211,0.7230851,0.0335982
64.8,0.00572074,0.03691341,0.4776437,0.776108,0.03691341
65.4,0.005735112,0.04035016,0.4820663,0.7780578,0.04035016
66,0.006269348,0.0439515,0.486489,0.8505387,0.0439515
66.6,0.006259849,0.04771026,0.4909116,0.8492545,0.04771026
67.2,0.006249506,0.05146307,0.4953342,0.8478487,0.05146307
67.8,0.006203189,0.05519887,0.4997569,0.8415629,0.05519887
68.4,0.006394703,0.05897824,0.5041795,0.8675417,0.05897824
69,0.006358991,0.06280435,0.5086021,0.8626932,0.06280435
69.6,0.006431768,0.06664158,0.5130247,0.872564,0.06664158
70.2,0.006988309,0.0706676,0.5174474,0.9480699,0.0706676
70.8,0.007032344,0.0748738,0.52187,0.9540456,0.0748738
71.4,0.007027092,0.07909163,0.5262926,0.9533322,0.07909163
72,0.007181021,0.08335406,0.5307152,0.9742129,0.08335406
72.6,0.007367762,0.08771869,0.5351379,0.9995486,0.08771869
73.2,0.007490406,0.09217615,0.5395605,1.016189,0.09217615
73.8,0.007828724,0.09677188,0.5439831,1.062094,0.09677188
74.4,0.00777988,0.1014544,0.5484057,1.055467,0.1014544
75,0.007998196,0.1061879,0.5528284,1.085085,0.1061879
75.6,0.007926752,0.1109654,0.557251,1.075392,0.1109654
76.2,0.008248847,0.1158181,0.5616736,1.11909,0.1158181
76.8,0.008160404,0.1207409,0.5660963,1.107093,0.1207409
77.4,0.007713115,0.1255029,0.5705189,1.046411,0.1255029
78,0.007936084,0.1301977,0.5749415,1.076659,0.1301977
78.6,0.008155682,0.1350252,0.5793641,1.106448,0.1350252
79.2,0.007913592,0.139846,0.5837868,1.073602,0.139846
79.8,0.007933227,0.1446,0.5882094,1.076261,0.1446
80.4,0.008342451,0.1494827,0.592632,1.13178,0.1494827
81,0.008015034,0.15439,0.5970546,1.087363,0.15439
81.6,0.00815852,0.1592421,0.6014773,1.106826,0.1592421
82.2,0.008194073,0.1641478,0.6058999,1.111654,0.1641478
82.8,0.008362728,0.1691148,0.6103225,1.134534,0.1691148
83.4,0.008615212,0.1742082,0.6147452,1.168789,0.1742082
84,0.009266622,0.1795728,0.6191677,1.257168,0.1795728
84.6,0.00873805,0.1849742,0.6235904,1.185454,0.1849742
85.2,0.008818028,0.190241,0.628013,1.196306,0.190241
85.8,0.008854526,0.1955428,0.6324357,1.201257,0.1955428
86.4,0.008702277,0.2008098,0.6368583,1.180611,0.2008098
87,0.008558009,0.2059879,0.6412809,1.161039,0.2059879
87.6,0.008812797,0.2111991,0.6457035,1.195599,0.2111991
88.2,0.009406998,0.2166651,0.6501262,1.276216,0.2166651
88.8,0.008916059,0.222162,0.6545488,1.209612,0.222162
89.4,0.009173903,0.227589,0.6589714,1.244588,0.227589
90,0.008839808,0.2329931,0.6633941,1.199264,0.2329931
90.6,0.008845896,0.2382988,0.6678166,1.200086,0.2382988
91.2,0.008679202,0.2435564,0.6722393,1.177473,0.2435564
